Time,AzResolver,ElResolver,avgAzResolver,avgElResolver
05:32:42,533,491,0,0
05:32:44,540,488,543.0,0
05:32:47,540,493,543.0,487.0
05:32:49,533,513,543.0,487.0
05:32:52,538,486,543.0,491.5
05:32:54,544,489,543.0,491.5
05:32:56,541,500,543.0,496.0
05:32:59,544,487,543.0,496.0
05:33:01,546,487,543.0,496.0
05:33:03,542,448,543.0,491.5
05:33:05,542,490,543.0,491.5
05:33:08,543,481,543.0,487.0
05:33:10,541,489,543.0,487.0
05:33:12,539,488,543.0,487.0
05:33:14,540,492,550.5,491.5
05:33:17,542,523,550.5,491.5
05:33:19,543,488,549.0,487.0
05:33:22,555,487,549.0,487.0
05:33:24,554,487,546.0,487.0
05:33:26,542,488,546.0,487.0
05:33:29,537,501,546.0,487.0
05:33:31,547,479,543.0,487.0
05:33:34,525,502,543.0,487.0
05:33:36,543,491,543.0,488.0
05:33:39,535,485,543.0,488.0
05:33:41,541,495,543.0,488.0
05:33:43,534,504,543.0,489.0
05:33:46,542,496,543.0,489.0
05:33:48,542,485,543.0,492.5
05:33:51,543,475,543.0,492.5
05:33:53,526,493,543.0,489.0
05:33:56,543,487,543.0,489.0
05:33:57,547,488,543.0,489.0
05:34:00,541,485,543.0,488.5
05:34:02,540,484,543.0,488.5
05:34:04,526,488,543.0,488.5
05:34:07,562,487,543.0,489.0
05:34:09,584,465,543.0,489.0
05:34:12,550,493,543.0,488.5
05:34:14,552,483,543.0,488.5
05:34:17,532,489,543.0,488.0
05:34:19,542,490,543.0,488.0
05:34:26,550,487,542.0,488.0
05:34:29,538,491,542.0,487.5
05:34:31,518,498,542.0,487.5
